t=2025-07-18T03:12:34+0700 lvl=info msg="no configuration paths supplied"
t=2025-07-18T03:12:34+0700 lvl=info msg="using configuration at default config path" path="/Users/Maxou/Library/Application Support/ngrok/ngrok.yml"
t=2025-07-18T03:12:34+0700 lvl=info msg="open config file" path="/Users/Maxou/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-07-18T03:12:34+0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-07-18T03:12:35+0700 lvl=info msg="update available" obj=updater
t=2025-07-18T03:12:36+0700 lvl=info msg="client session established" obj=tunnels.session
t=2025-07-18T03:12:36+0700 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-07-18T03:12:36+0700 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8000 url=https://b9e2cb3fe10e.ngrok-free.app
t=2025-07-18T03:12:42+0700 lvl=info msg=start pg=/api/tunnels id=9917e5e678866bdc
t=2025-07-18T03:12:42+0700 lvl=info msg=end pg=/api/tunnels id=9917e5e678866bdc status=200 dur=590.917µs
t=2025-07-18T03:14:21+0700 lvl=info msg="join connections" obj=join id=e2a1397784fa l=127.0.0.1:8000 r=185.81.125.105:63572
t=2025-07-18T03:14:21+0700 lvl=info msg="join connections" obj=join id=633f8695776c l=127.0.0.1:8000 r=185.81.125.105:63572
t=2025-07-18T03:14:22+0700 lvl=info msg="join connections" obj=join id=c0fd571d0b93 l=127.0.0.1:8000 r=185.81.125.105:63572
t=2025-07-18T03:14:22+0700 lvl=info msg="join connections" obj=join id=ca8e948af229 l=127.0.0.1:8000 r=185.81.125.105:63572
t=2025-07-18T03:14:22+0700 lvl=info msg="join connections" obj=join id=52c2b95ae98e l=127.0.0.1:8000 r=185.81.125.105:63572
t=2025-07-18T03:14:22+0700 lvl=info msg="join connections" obj=join id=ad1383012c5f l=127.0.0.1:8000 r=185.81.125.105:63572
t=2025-07-18T03:14:22+0700 lvl=info msg="join connections" obj=join id=912d0da5855e l=127.0.0.1:8000 r=185.81.125.105:63572
